Player,Age,DWS,OWS,PTS
Stephen Curry,34,5.4,0.7,29.4
Klay Thompson,32,3.6,0.6,21.9
Andrew Wiggins,27,3.4,1.6,17.1
Draymond Green,32,6.3,0.9,8.5
Jordan Poole,23,2.4,0.4,20.4
Donte DiVincenzo,26,3.4,1.1,9.4
Kevon Looney,26,5.9,3.3,7.0
Jonathan Kuminga,20,2.4,1.0,9.9
Anthony Lamb,25,2.6,0.9,6.7
Ty Jerome,25,1.6,0.2,6.9
Gary Payton II,30,2.3,2.0,5.7
Andre Iguodala,39,1.8,0.4,2.1
JaMychal Green,32,2.3,1.3,6.4
Moses Moody,20,1.2,0.4,4.8
James Wiseman,21,2.6,0.9,6.9
Patrick Baldwin Jr.,20,1.3,0.0,3.9
Ryan Rollins,20,0.8,0.3,1.9
Lester Quinones,22,0.5,0.3,2.5
