Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Jayson Tatum,23,6.9,1.1,26.9,jaytatum0,203,95
Jaylen Brown,25,5.3,0.8,23.6,FCHWPO,198,101
Marcus Smart,27,3.2,0.6,12.1,smart_MS3,190,99
Robert Williams,24,5.7,3.9,10.0,rob_williamsIII,206,107
Dennis Schröder,28,2.8,0.6,14.4,DennisMike93,185,78
Al Horford,35,6.1,1.6,10.2,Al_Horford,206,108
Derrick White,27,2.9,0.5,11.0,Dwhite921,193,86
Josh Richardson,28,2.3,0.6,9.7,J_Rich1,196,90
Grant Williams,23,2.7,0.8,7.8,Grant2Will,198,107
Daniel Theis,29,3.4,1.3,7.9,dtheis10,203,111
Romeo Langford,22,1.7,0.7,4.7,yeahyeah22,196,97
Payton Pritchard,24,1.4,0.5,6.2,paytonpritch3,185,88
Enes Freedom,29,2.8,1.7,3.7,EnesFreedom,208,113
Aaron Nesmith,22,1.4,0.3,3.8,aaronnesmith24,196,97
Jabari Parker,26,1.9,0.4,4.4,JabariParker,203,111
Luke Kornet,26,1.3,0.8,2.2,Not Listed,218,113
Sam Hauser,24,0.9,0.2,2.5,Big_Smooth10,203,97
Juancho Hernangómez,26,0.9,0.5,1.1,juanchiviris41,206,97
Matt Ryan,24,0.0,0.0,3.0,Matt_Ryan04,198,97
Brodric Thomas,25,0.7,0.2,1.8,BT3bvckets,196,83
Juwan Morgan,24,0.0,0.0,0.0,juwanmorgan,201,105
Malik Fitts,24,0.6,0.3,1.9,MalikFitts,203,104
Bruno Fernando,23,0.4,0.4,1.0,BrunoFernandoMV,206,108
Nik Stauskas,28,0.0,0.0,1.2,NStauskas11,198,92
C.J. Miles,34,0.0,0.0,0.0,masfresco,198,99
Kelan Martin,26,0.3,0.3,0.0,kelan30_,196,104
Joe Johnson,40,0.0,0.0,2.0,TheJoeJohnson7,201,108
Justin Jackson,26,0.0,0.0,2.0,JJacks_44,203,99
