Player,Age,DWS,OWS,PTS,Twitter Handle,Height,Weight (Kg)
Stephen Curry,33,4.7,0.5,25.5,StephenCurry30,188,83
Andrew Wiggins,26,3.3,1.2,17.2,22wiggins,201,89
Jordan Poole,22,3.0,0.4,18.5,Not Listed,193,87
Klay Thompson,31,3.4,0.5,20.4,KlayThompson,198,97
Draymond Green,31,6.3,1.0,7.5,Money23Green,198,104
Otto Porter Jr.,28,4.4,1.4,8.2,OttoPorter,203,89
Kevon Looney,25,4.7,2.5,6.0,Loon_Rebel5,206,100
Damion Lee,29,2.8,0.4,7.4,Dami0nLee,196,95
Andre Iguodala,38,2.5,0.7,4.0,andre,198,97
Gary Payton II,29,2.5,1.0,7.1,Garydwayne,188,86
Jonathan Kuminga,19,2.6,0.8,9.3,JonathanKuming6,203,95
Nemanja Bjelica,33,3.3,0.9,6.1,NemanjaBjelica,208,106
Juan Toscano-Anderson,28,2.0,0.4,4.1,juanonjuan10,198,94
Moses Moody,19,1.2,0.3,4.4,mosesmoody,198,92
Chris Chiozza,26,0.8,0.3,2.0,Chiozza11,180,79
Jeff Dowtin,24,1.5,0.3,1.5,JeffD_11,190,83
Quinndary Weatherspoon,25,1.1,0.2,2.7,IAM_QUINN11,190,92
