Player,Age,DWS,OWS,PTS,Twitter Handle,Height,Weight (Lbs)
Russell Westbrook,32,9.9,1.7,22.2,russwest44,193,90
Bradley Beal,27,3.5,1.2,31.3,RealDealBeal23,193,93
Rui Hachimura,22,4.6,0.9,13.8,rui_8mura,203,104
Thomas Bryant,23,4.3,1.8,14.3,nolimittb31,208,112
Dāvis Bertāns,28,2.6,0.3,11.5,DBertans_42,208,102
Deni Avdija,20,4.4,0.4,6.3,Not Listed,206,95
Raul Neto,28,2.0,0.4,8.7,RaulTogni,185,81
Ish Smith,32,2.9,0.5,6.7,IshSmith,183,79
Robin Lopez,32,1.8,2.0,9.0,rolopez42,216,127
Jerome Robinson,23,2.0,0.2,4.9,Rome_Coldbucks1,193,86
Daniel Gafford,22,3.4,2.2,10.1,Dan_G33,208,106
Garrison Mathews,24,1.1,0.3,5.5,gmathews_24,196,97
Alex Len,27,3.0,1.4,7.1,alexlen,213,113
Chandler Hutchison,24,2.9,0.3,5.2,CmoHutchison,198,95
Moritz Wagner,23,2.4,0.5,7.1,moritz_weasley,211,111
Troy Brown Jr.,21,2.4,0.5,4.3,Troy_Brown33,198,97
Jordan Bell,26,2.6,1.2,2.8,1jordanbell,203,97
Isaac Bonga,21,1.2,0.5,2.0,isaacbonga,203,81
Anthony Gill,28,1.3,0.6,3.1,Not Listed,201,104
Anžejs Pasečņiks,25,0.0,1.0,0.0,AnzejsP,216,103
Cassius Winston,22,0.4,0.0,1.9,cassiuswinston,185,83
